Date,PM10,PM2.5,Wind speed,Wind dir,Temp,Rel hum,index,,
2014-05-02,43.95833333,27.54166667,1.670833333,248.9166667,31.79166667,62,0.6,02-05-14,TRUE
2014-05-03,21.875,14,1.966666667,212.625,31.6,62,0.6,03-05-14,TRUE
2014-05-04,19.20833333,11.375,1.445833333,203,31.16666667,62,0.6,04-05-14,TRUE
2014-05-05,14.52173913,6.434782609,1.486956522,227.173913,32.04782609,62,0.6,05-05-14,TRUE
2014-05-06,28.16666667,16.04166667,1.35,164.8333333,31.16666667,62,0.6,06-05-14,TRUE
2014-05-07,49.16666667,31.45833333,0.904166667,67.5,28.30416667,62,0.6,07-05-14,TRUE
2014-05-08,50.5,31.20833333,1.416666667,178.9166667,30.52083333,62,0.6,08-05-14,TRUE
2014-05-09,16.45833333,7.083333333,1.6875,230.375,32.05,62,0.6,09-05-14,TRUE
2014-05-10,24.58333333,12.08333333,1.629166667,267.4166667,31.72083333,62,0.6,10-05-14,TRUE
2014-05-11,35.5,18.08333333,0.9875,198.2083333,30.98333333,62,0.6,11-05-14,TRUE
2014-05-12,24.63636364,12.04545455,1.445454545,264.9545455,31.73636364,62,0.6,12-05-14,TRUE
2014-05-13,23.7826087,10.17391304,1.039130435,250.9565217,29.60434783,62,0.6,13-05-14,TRUE
2014-05-14,22.40909091,10.31818182,1.15,206.6363636,31.19545455,62,0.6,14-05-14,TRUE
2014-05-15,22.625,10.08333333,1.429166667,278.7916667,32.67083333,62,0.6,15-05-14,TRUE
2014-05-16,22.79166667,9.083333333,1.429166667,218.9583333,32.3125,62,0.6,16-05-14,TRUE
2014-05-17,22.45833333,8.916666667,1.566666667,274.2916667,32.15416667,62,0.6,17-05-14,TRUE
2014-05-18,19.25,9.041666667,1.05,223.1666667,30.83333333,62,0.6,18-05-14,TRUE
2014-05-19,24.70833333,10.25,1.041666667,277.9583333,29.82083333,62,0.6,19-05-14,TRUE
2014-05-20,22.47826087,9.434782609,1.282608696,244.6956522,30.9173913,62,0.6,20-05-14,TRUE
2014-05-21,32.39130435,13.95652174,1.252173913,253.3043478,31.02608696,62,0.6,21-05-14,TRUE
2014-05-22,21,9.625,1.416666667,251.3333333,31.11666667,62,0.6,22-05-14,TRUE
2014-05-23,25.73913043,12.43478261,1.186956522,254.9565217,30.27826087,62,0.6,23-05-14,TRUE
2014-05-24,48.20833333,24.04166667,1.275,230.4166667,31.3375,62,0.6,24-05-14,TRUE
2014-05-25,24.25,10.70833333,1.204166667,227,32.10833333,62,0.6,25-05-14,TRUE
2014-05-26,25.28571429,14.19047619,1.404761905,142.8571429,31.70952381,62,0.6,26-05-14,TRUE
2014-05-27,16.79166667,7.375,1.475,224.9583333,31.34166667,62,0.6,27-05-14,TRUE
2014-05-28,29.5,15.45833333,0.716666667,213.9166667,29.43333333,62,0.6,28-05-14,TRUE
2014-05-29,27.79166667,13.33333333,1.258333333,267.375,32.79166667,62,0.6,29-05-14,TRUE
2014-05-30,16.16666667,6.333333333,1.645833333,289,32.3625,62,0.6,30-05-14,TRUE
2014-05-31,28.41666667,12.70833333,0.508333333,35.125,28.9625,62,0.6,31-05-14,TRUE
2014-06-01,20.73684211,9.210526316,0.5,4,29,62,0.6,01-06-14,TRUE
2014-06-02,16.79166667,7.25,1.216666667,108.8333333,31.09166667,62,0.6,02-06-14,TRUE
2014-06-03,17.73913043,6.956521739,1.452173913,274.7391304,32.93043478,62,0.6,03-06-14,TRUE
2014-06-04,18.69565217,7.652173913,1.613043478,226.6086957,30.81304348,62,0.6,04-06-14,TRUE
2014-06-05,38.23809524,14.28571429,0.880952381,182.4285714,28.58095238,62,0.6,05-06-14,TRUE
2014-06-06,35.52941176,15.29411765,0.988235294,216.4705882,29.15882353,62,0.6,06-06-14,TRUE
2014-06-07,14.68181818,6.454545455,1.222727273,239.2727273,29.82727273,62,0.6,07-06-14,TRUE
2014-06-08,23.125,10.25,1.270833333,234.0416667,30.475,62,0.6,08-06-14,TRUE
2014-06-09,24.19047619,11,1.176190476,241.952381,30.97142857,62,0.6,09-06-14,TRUE
2014-06-10,26.15,12.85,0.875,283.85,30.645,62,0.6,10-06-14,TRUE
2014-06-11,19.33333333,8.291666667,1.1625,252.7166667,31,62,0.6,11-06-14,TRUE
2014-06-12,19,7.956521739,1.539130435,262,29.52608696,62,0.6,12-06-14,TRUE
2014-06-13,13.47826087,4.565217391,1.62173913,240.2173913,29.91304348,62,0.6,13-06-14,TRUE
2014-06-14,13.91666667,5.625,1.983333333,230.25,30.12083333,62,0.6,14-06-14,TRUE
2014-06-15,22.68181818,6.5,1.586363636,229.1818182,29.62727273,62,0.6,15-06-14,TRUE
2014-06-16,17.10526316,5.736842105,2.021052632,230.5789474,29.78947368,62,0.6,16-06-14,TRUE
2014-06-17,13.25,6.291666667,1.6375,226.875,29.10833333,62,0.6,17-06-14,TRUE
2014-06-18,34.70833333,12.75,1.608333333,245.2916667,30.61666667,62,0.6,18-06-14,TRUE
2014-06-19,41.91666667,13.29166667,1.65,224.0833333,30.91666667,62,0.6,19-06-14,TRUE
2014-06-20,52,21.08333333,0.895833333,242.75,29.14166667,62,0.6,20-06-14,TRUE
2014-06-21,56.75,21.625,1,225,29.5,62,0.6,21-06-14,TRUE
2014-06-22,56.875,22.66666667,1,225,29.5,62,0.6,22-06-14,TRUE
2014-06-23,34.47826087,17.04347826,1.182608696,248.9565217,30.38695652,62,0.6,23-06-14,TRUE
2014-06-24,24.91304348,12.95652174,1.434782609,251.2173913,29.88695652,62,0.6,24-06-14,TRUE
2014-06-25,18.16666667,7.375,1.4625,234.5,28.59583333,62,0.6,25-06-14,TRUE
2014-06-26,37.41666667,14.375,0.975,208.625,27.8875,62,0.6,26-06-14,TRUE
2014-06-27,53.20833333,23.95833333,0.991666667,204.8333333,29.93333333,62,0.6,27-06-14,TRUE
2014-06-28,45.77777778,18,2.055555556,321.1111111,33.30555556,62,0.6,28-06-14,TRUE
2014-06-29,41.66666667,17.83333333,1.775,318.2916667,31.81666667,62,0.6,29-06-14,TRUE
2014-06-30,42.16666667,17.375,1.204166667,270.75,30.225,62,0.6,30-06-14,TRUE
